Order ID,Order Date,Customer ID,Customer Name,Customer Segment,Product ID,Product,Category,Region,City,Quantity,Unit Price,Gross Sales,Discount,Discount Amount,Sales,Unit Cost,Cost,Profit,Payment Method,Order Status,Source Channel
ORD-100001,01/02/2023,CUST-00192,Kavya Gupta,Corporate,SKU-008,Storage Basket,Home & Kitchen,West,Mumbai,5,31.81,159.05,5.0%,7.95,151.10,16.00,80.18,70.92,Upi,Processing,Website
ORD-100002,23/08/2024,CUST-00275,Rohan Iyer,Consumer,SKU-019,Makeup Brush Set,Beauty,East,Bhubaneswar,3,35.14,105.42,10.0%,10.54,94.88,17.00,49.97,44.91,,Processing,Website
ORD-100003,26/07/2024,CUST-00373,Diya Das,Consumer,SKU-020,Body Lotion,Beauty,South,Chennai,3,16.03,48.09,0.0%,0.00,48.09,7.00,21.59,26.50,Upi,Delivered,Website
ORD-100004,31/08/2023,CUST-00353,Aditya Iyer,Corporate,SKU-010,Bed Sheet Set,Home & Kitchen,West,Ahmedabad,1,59.27,59.27,20.0%,11.85,47.42,31.00,30.67,0.00,Wallet,Cancelled,Mobile App
ORD-100005,12/02/2024,CUST-00313,Saanvi Mishra,Consumer,SKU-010,Bed Sheet Set,Home & Kitchen,West,Mumbai,3,56.30,168.90,0.0%,0.00,168.90,31.00,89.37,79.53,Credit Card,Returned,Mobile App
ORD-100006,01/02/2024,CUST-02195,Meera Sharma,Corporate,SKU-023,Ergonomic Chair,Office Supplies,North,Chandigarh,4,177.02,708.08,10.0%,70.81,637.27,105.00,429.90,207.37,Upi,Delivered,Website
ORD-100007,30/01/2024,CUST-00875,Ishaan Mehta,Consumer,SKU-003,USB-C Hub,Electronics,North,Jaipur,3,38.52,115.56,0.0%,0.00,115.56,21.00,65.37,50.19,Debit Card,Delivered,Website
ORD-100008,05/02/2023,CUST-02106,Priya Singh,Consumer,SKU-005,Webcam,Electronics,Central,Bhopal,4,61.99,247.96,10.0%,24.80,223.16,37.00,153.04,70.12,Debit Card,Processing,Mobile App
ORD-100009,08/01/2023,CUST-02072,Kavya Iyer,Consumer,SKU-001,Wireless Mouse,Electronics,South,Bengaluru,5,22.64,113.20,10.0%,11.32,101.88,12.00,62.22,39.66,Debit Card,Delivered,Website
ORD-100010,23/02/2024,CUST-02389,Ishaan Khan,Consumer,SKU-007,Desk Lamp,Home & Kitchen,Central,Bhopal,2,44.04,88.08,0.0%,0.00,88.08,23.00,46.53,41.55,Credit Card,Delivered,Website
ORD-100011,11/07/2023,CUST-02430,Meera Jain,Corporate,SKU-021,Notebook Set,Office Supplies,South,Chennai,3,13.54,40.62,0.0%,0.00,40.62,5.00,14.75,25.87,Wallet,Shipped,Marketplace
ORD-100012,09/11/2023,CUST-02435,Neha Khan,Consumer,SKU-013,Running Shoes,Fashion,North,Chandigarh,4,73.78,295.12,10.0%,29.51,265.61,42.00,161.48,104.13,Wallet,Returned,Marketplace
ORD-100013,27/10/2023,CUST-01049,Arjun Rao,Corporate,SKU-015,Wrist Watch,Fashion,North,Delhi,3,93.90,281.70,10.0%,28.17,253.53,54.00,165.70,87.83,Wallet,Delivered,Mobile App
ORD-100014,18/07/2024,CUST-01089,Kabir Kapoor,Corporate,SKU-019,Makeup Brush Set,Beauty,West,Mumbai,3,33.82,101.46,10.0%,10.15,91.31,17.00,51.55,39.76,Debit Card,Shipped,Mobile App
ORD-100015,03/11/2024,CUST-00938,Arjun Patel,Corporate,SKU-004,Mechanical Keyboard,Electronics,North,Jaipur,2,89.07,178.14,5.0%,8.91,169.23,51.00,104.99,64.24,Net Banking,Delivered,Mobile App
ORD-100016,29/01/2024,CUST-00952,Rohan Saxena,Consumer,SKU-021,Notebook Set,Office Supplies,North,Chandigarh,3,13.91,41.73,10.0%,4.17,37.56,5.00,14.42,23.14,Debit Card,Shipped,Mobile App
ORD-100017,11/09/2024,CUST-01095,Riya Saxena,Consumer,SKU-014,Canvas Backpack,Fashion,West,Mumbai,2,50.81,101.62,0.0%,0.00,101.62,27.00,55.61,46.01,Wallet,Delivered,Marketplace
ORD-100018,28/06/2024,CUST-00316,Vivaan Das,Consumer,SKU-025,Stapler,Office Supplies,North,Delhi,2,13.43,26.86,5.0%,1.34,25.52,6.00,12.04,0.00,Upi,Cancelled,Marketplace
ORD-100019,28/05/2025,CUST-02090,Riya Rao,Consumer,SKU-001,Wireless Mouse,Electronics,South,Hyderabad,1,22.21,22.21,0.0%,0.00,22.21,12.00,11.75,10.46,Net Banking,Delivered,Mobile App
ORD-100020,05/10/2024,CUST-01823,Ananya Sharma,Corporate,SKU-007,Desk Lamp,Home & Kitchen,South,Chennai,3,41.53,124.59,10.0%,12.46,112.13,23.00,66.96,45.17,Debit Card,Delivered,Marketplace
ORD-100021,06/07/2024,CUST-00160,Aditya Gupta,Consumer,SKU-024,Printer Paper Box,Office Supplies,South,Chennai,5,27.77,138.85,0.0%,0.00,138.85,15.00,73.73,65.12,Credit Card,Shipped,Marketplace
ORD-100022,04/07/2023,CUST-00915,Riya Gupta,Consumer,SKU-006,Insulated Bottle,Home & Kitchen,West,Mumbai,5,23.81,119.05,0.0%,0.00,119.05,11.00,55.06,63.99,Credit Card,Processing,Marketplace
ORD-100023,26/04/2025,CUST-01941,Riya Saxena,Home Office,SKU-024,Printer Paper Box,Office Supplies,West,Ahmedabad,5,29.47,147.35,0.0%,0.00,147.35,15.00,76.10,71.25,Cash On Delivery,Delivered,Marketplace
ORD-100024,25/12/2023,CUST-02415,Rohan Mehta,Consumer,SKU-001,Wireless Mouse,Electronics,West,Ahmedabad,4,22.17,88.68,10.0%,8.87,79.81,12.00,48.87,0.00,Credit Card,Cancelled,Website
ORD-100025,04/06/2024,CUST-02173,Vivaan Patel,Consumer,SKU-019,Makeup Brush Set,Beauty,North,Delhi,2,34.10,68.20,10.0%,6.82,61.38,17.00,34.72,0.00,Credit Card,Cancelled,Website
ORD-100026,26/12/2023,CUST-01810,Ananya Das,Home Office,SKU-020,Body Lotion,Beauty,North,Jaipur,3,15.77,47.31,0.0%,0.00,47.31,7.00,20.24,27.07,Debit Card,Processing,Mobile App
ORD-100027,15/04/2025,CUST-01109,Ishaan Jain,Consumer,SKU-015,Wrist Watch,Fashion,South,Hyderabad,1,92.31,92.31,20.0%,18.46,73.85,54.00,52.39,21.46,Debit Card,Delivered,Marketplace
ORD-100028,23/02/2023,CUST-00347,Ananya Gupta,Consumer,SKU-007,Desk Lamp,Home & Kitchen,East,Bhubaneswar,1,43.14,43.14,10.0%,4.31,38.83,23.00,23.52,15.31,Upi,Returned,Website
ORD-100029,11/08/2023,CUST-01836,Ishaan Patel,Consumer,SKU-012,Slim Fit Jeans,Fashion,West,Ahmedabad,5,43.51,217.55,10.0%,21.76,195.79,22.00,114.31,81.48,Cash On Delivery,Delivered,Website
ORD-100030,04/11/2024,CUST-00134,Rohan Patel,Consumer,SKU-008,Storage Basket,Home & Kitchen,West,Ahmedabad,5,32.43,162.15,10.0%,16.22,145.93,16.00,82.53,63.40,Upi,Returned,Marketplace
ORD-100031,03/06/2025,CUST-01466,Aarav Nair,Corporate,SKU-024,Printer Paper Box,Office Supplies,Central,Bhopal,3,29.89,89.67,10.0%,8.97,80.70,15.00,43.21,0.00,Net Banking,Cancelled,Marketplace
ORD-100032,21/09/2023,CUST-00599,Aarav Mehta,Home Office,SKU-014,Canvas Backpack,Fashion,West,Mumbai,1,54.49,54.49,5.0%,2.72,51.77,27.00,28.01,23.76,Upi,Delivered,Mobile App
ORD-100033,26/05/2025,CUST-00674,Aarav Rao,Consumer,SKU-014,Canvas Backpack,Fashion,Central,Bhopal,3,52.80,158.40,10.0%,15.84,142.56,27.00,80.21,62.35,Wallet,Delivered,Marketplace
ORD-100034,16/05/2023,CUST-00232,Vivaan Mishra,Consumer,SKU-015,Wrist Watch,Fashion,North,Delhi,2,94.62,189.24,0.0%,0.00,189.24,54.00,106.95,82.29,Debit Card,Delivered,Website
ORD-100035,20/01/2023,CUST-00022,Kavya Mehta,Consumer,SKU-008,Storage Basket,Home & Kitchen,West,Ahmedabad,4,29.16,116.64,10.0%,11.66,104.98,16.00,63.04,41.94,Debit Card,Shipped,Marketplace
ORD-100036,06/12/2024,CUST-01739,Neha Sharma,Consumer,SKU-007,Desk Lamp,Home & Kitchen,North,Delhi,3,42.95,128.85,0.0%,0.00,128.85,23.00,70.99,57.86,Wallet,Delivered,Website
ORD-100037,22/03/2025,CUST-02293,Kavya Patel,Consumer,SKU-025,Stapler,Office Supplies,West,Ahmedabad,5,13.48,67.40,0.0%,0.00,67.40,6.00,29.32,38.08,Wallet,Processing,Marketplace
ORD-100038,05/07/2023,CUST-01374,Saanvi Jain,Consumer,SKU-018,Sunscreen SPF 50,Beauty,West,Mumbai,1,19.80,19.80,0.0%,0.00,19.80,10.00,10.21,9.59,Net Banking,Shipped,Website
ORD-100039,15/06/2025,CUST-02153,Priya Mehta,Consumer,SKU-016,Face Cleanser,Beauty,East,Kolkata,5,18.82,94.10,0.0%,0.00,94.10,8.00,39.38,54.72,Upi,Delivered,Website
ORD-100040,20/04/2023,CUST-00625,Riya Gupta,Consumer,SKU-005,Webcam,Electronics,West,Ahmedabad,5,67.16,335.80,0.0%,0.00,335.80,37.00,180.29,155.51,Cash On Delivery,Delivered,Website
ORD-100041,17/04/2024,CUST-02233,Riya Nair,Consumer,SKU-002,Bluetooth Speaker,Electronics,West,Mumbai,1,50.79,50.79,0.0%,0.00,50.79,28.00,28.73,22.06,Upi,Processing,Website
ORD-100042,01/12/2024,CUST-01968,Saanvi Singh,Consumer,SKU-006,Insulated Bottle,Home & Kitchen,West,Mumbai,1,23.08,23.08,0.0%,0.00,23.08,11.00,11.29,11.79,Wallet,Delivered,Website
ORD-100043,06/08/2023,CUST-00803,Saanvi Kapoor,Consumer,SKU-020,Body Lotion,Beauty,North,Chandigarh,2,15.05,30.10,0.0%,0.00,30.10,7.00,13.65,16.45,Wallet,Delivered,Marketplace
ORD-100044,18/07/2023,CUST-02453,Priya Das,Consumer,SKU-008,Storage Basket,Home & Kitchen,North,Jaipur,4,30.32,121.28,0.0%,0.00,121.28,16.00,65.36,55.92,Wallet,Shipped,Marketplace
ORD-100045,11/09/2023,CUST-01821,Rohan Das,Home Office,SKU-015,Wrist Watch,Fashion,West,Ahmedabad,2,92.94,185.88,0.0%,0.00,185.88,54.00,106.23,79.65,Upi,Delivered,Mobile App
ORD-100046,28/04/2025,CUST-00408,Meera Sharma,Consumer,SKU-025,Stapler,Office Supplies,South,Hyderabad,5,13.30,66.50,0.0%,0.00,66.50,6.00,30.11,36.39,Debit Card,Delivered,Marketplace
ORD-100047,24/08/2025,CUST-00242,Vivaan Kapoor,Home Office,SKU-019,Makeup Brush Set,Beauty,North,Chandigarh,3,36.01,108.03,20.0%,21.61,86.42,17.00,52.98,0.00,Wallet,Cancelled,Marketplace
ORD-100048,27/06/2023,CUST-01355,Diya Verma,Home Office,SKU-019,Makeup Brush Set,Beauty,South,Hyderabad,2,32.25,64.50,0.0%,0.00,64.50,17.00,32.73,31.77,Credit Card,Returned,Marketplace
ORD-100049,28/08/2024,CUST-02287,Aarav Patel,Consumer,SKU-002,Bluetooth Speaker,Electronics,West,Ahmedabad,4,46.81,187.24,0.0%,0.00,187.24,28.00,109.38,77.86,Net Banking,Delivered,Marketplace
ORD-100050,03/09/2023,CUST-02537,Rohan Gupta,Consumer,SKU-021,Notebook Set,Office Supplies,North,Delhi,3,13.43,40.29,20.0%,8.06,32.23,5.00,15.47,16.76,Credit Card,Returned,Website
ORD-100051,18/03/2023,CUST-00326,Kavya Rao,Consumer,SKU-008,Storage Basket,Home & Kitchen,South,Chennai,1,31.14,31.14,0.0%,0.00,31.14,16.00,15.65,15.49,Debit Card,Delivered,Mobile App
ORD-100052,12/02/2023,CUST-00809,Riya Singh,Consumer,SKU-018,Sunscreen SPF 50,Beauty,East,Bhubaneswar,5,22.25,111.25,0.0%,0.00,111.25,10.00,50.57,60.68,Debit Card,Shipped,Marketplace
ORD-100053,03/07/2023,CUST-02493,Priya Kapoor,Home Office,SKU-004,Mechanical Keyboard,Electronics,South,Bengaluru,1,81.40,81.40,0.0%,0.00,81.40,51.00,50.27,31.13,Credit Card,Returned,Website
ORD-100054,30/04/2024,CUST-00003,Priya Iyer,Consumer,SKU-018,Sunscreen SPF 50,Beauty,East,Kolkata,1,19.78,19.78,10.0%,1.98,17.80,10.00,9.69,0.00,Debit Card,Cancelled,Marketplace
ORD-100055,11/11/2023,CUST-00520,Aadhya Reddy,Consumer,SKU-022,Gel Pen Pack,Office Supplies,Central,Bhopal,3,10.40,31.20,5.0%,1.56,29.64,4.00,12.47,17.17,Wallet,Shipped,Marketplace
ORD-100056,08/06/2025,CUST-02550,Kavya Rao,Home Office,SKU-002,Bluetooth Speaker,Electronics,East,Bhubaneswar,1,47.20,47.20,0.0%,0.00,47.20,28.00,26.89,20.31,Credit Card,Delivered,Mobile App
ORD-100057,02/08/2024,CUST-02458,Kavya Sharma,Consumer,SKU-007,Desk Lamp,Home & Kitchen,South,Hyderabad,2,39.99,79.98,10.0%,8.00,71.98,23.00,44.27,27.71,Credit Card,Delivered,Mobile App
ORD-100058,02/05/2024,CUST-01069,Riya Saxena,Consumer,SKU-019,Makeup Brush Set,Beauty,North,Jaipur,1,34.60,34.60,0.0%,0.00,34.60,17.00,16.43,18.17,Cash On Delivery,Delivered,Mobile App
ORD-100059,01/06/2023,CUST-01064,Arjun Sharma,Corporate,SKU-018,Sunscreen SPF 50,Beauty,North,Chandigarh,5,20.26,101.30,0.0%,0.00,101.30,10.00,51.04,50.26,Upi,Delivered,Marketplace
ORD-100060,05/01/2024,CUST-01701,Riya Sharma,Consumer,SKU-017,Hair Dryer,Beauty,North,Jaipur,1,59.81,59.81,5.0%,2.99,56.82,35.00,34.64,0.00,Net Banking,Cancelled,Website
ORD-100061,25/09/2023,CUST-01210,Arjun Rao,Home Office,SKU-001,Wireless Mouse,Electronics,East,Kolkata,3,22.04,66.12,0.0%,0.00,66.12,12.00,35.11,31.01,Credit Card,Delivered,Website
ORD-100062,14/02/2023,CUST-00712,Kabir Gupta,Consumer,SKU-004,Mechanical Keyboard,Electronics,West,Pune,4,88.26,353.04,0.0%,0.00,353.04,51.00,198.17,154.87,Net Banking,Processing,Marketplace
ORD-100063,14/08/2025,CUST-01645,Kavya Mehta,Consumer,SKU-017,Hair Dryer,Beauty,South,Chennai,1,64.12,64.12,0.0%,0.00,64.12,35.00,35.74,28.38,Cash On Delivery,Processing,Mobile App
ORD-100064,02/08/2025,CUST-00525,Meera Jain,Consumer,SKU-006,Insulated Bottle,Home & Kitchen,East,Bhubaneswar,3,22.90,68.70,5.0%,3.44,65.26,11.00,32.46,32.80,Debit Card,Returned,Marketplace
ORD-100065,25/02/2025,CUST-01697,Ishaan Mishra,Consumer,SKU-023,Ergonomic Chair,Office Supplies,South,Bengaluru,2,177.26,354.52,0.0%,0.00,354.52,105.00,204.81,0.00,Credit Card,Cancelled,Website
